player,team,season,position,age,minutes,goals,assists
Ayase Ueda,Feyenoord Rotterdam,2024-25,FW,26,383,2,0
Ayman Azhil,Borussia Dortmund,2024-25,MF,24,1,0,0
Aymen Sliti,Feyenoord Rotterdam,2024-25,FW,19,63,0,0
Ayyoub Bouaddi,LOSC Lille,2024-25,MF,17,622,0,1
Aïssa Mandi,LOSC Lille,2024-25,DF,33,320,0,0
Bafodé Diakité,LOSC Lille,2024-25,DF,24,855,0,0
Bart Nieuwkoop,Feyenoord Rotterdam,2024-25,DF,29,353,0,1
Bartol Franjic,FC Shakhtar Donetsk,2024-25,DF,25,20,0,0
Ben Godfrey,Atalanta BC,2024-25,DF,27,17,0,0
Ben White,Arsenal FC,2024-25,DF,27,333,0,0
Benjamin André,LOSC Lille,2024-25,MF,34,810,0,0
Benjamin Boakye,VfB Stuttgart,2024-25,FW,20,6,0,0
Benjamin Henrichs,RB Leipzig,2024-25,DF,28,474,0,0
Benjamin Pavard,Inter Milan,2024-25,DF,29,908,1,0
Benjamin Sesko,RB Leipzig,2024-25,FW,22,521,4,0
Benjamín Rollheiser,SL Benfica,2024-25,FW,25,91,0,0
Berat Djimsiti,Atalanta BC,2024-25,DF,32,679,1,0
Bernardo Silva,Manchester City,2024-25,MF,30,766,0,0
Biel,Sporting CP,2024-25,FW,24,73,0,0
Bjorn Meijer,Club Brugge KV,2024-25,DF,22,16,0,0
Bobby Clark,Fußballclub Red Bull Salzburg,2024-25,MF,20,326,0,0
Bojan Miovski,Girona FC,2024-25,FW,25,275,0,0
Boubacar Kamara,Aston Villa,2024-25,MF,25,701,0,0
Bradley Barcola,Paris Saint-Germain,2024-25,FW,22,1096,3,4
Brahim Díaz,Real Madrid,2024-25,FW,25,478,2,1
Brandon Mechele,Club Brugge KV,2024-25,DF,32,1080,0,0
Branko Pavic,GNK Dinamo Zagreb,2024-25,MF,18,73,0,0
Breel Embolo,AS Monaco,2024-25,FW,28,750,1,3
Bremer,Juventus FC,2024-25,DF,28,96,0,0
Brendan Chardonnet,Stade Brestois 29,2024-25,DF,30,810,0,0
Bruno Duarte,Red Star Belgrade,2024-25,FW,29,152,0,0
Bruno Petkovic,GNK Dinamo Zagreb,2024-25,FW,30,193,2,0
Bryan Gil,Girona FC,2024-25,FW,24,453,0,0
Bukayo Saka,Arsenal FC,2024-25,FW,23,764,6,2
Caio Henrique,AS Monaco,2024-25,DF,27,488,0,0
Callum McGregor,Celtic FC,2024-25,MF,31,900,0,0
Calvin Stengs,Feyenoord Rotterdam,2024-25,MF,26,80,0,1
Cameron Carter-Vickers,Celtic FC,2024-25,DF,27,607,0,0
Caoimhín Kelleher,Liverpool FC,2024-25,GK,26,360,0,0
Carlos Augusto,Inter Milan,2024-25,DF,26,660,0,2
Carney Chukwuemeka,Borussia Dortmund,2024-25,MF,21,76,0,0
Casper Nielsen,Club Brugge KV,2024-25,MF,31,139,1,0
Castello Lukeba,RB Leipzig,2024-25,DF,22,378,0,0
Cedric Itten,BSC Young Boys,2024-25,FW,28,231,0,0
Charalampos Lykogiannis,Bologna Football Club 1909,2024-25,DF,31,371,0,1
Charles De Ketelaere,Atalanta BC,2024-25,MF,24,703,4,5
Cheikh Niasse,BSC Young Boys,2024-25,MF,25,341,0,1
Chemsdine Talbi,Club Brugge KV,2024-25,FW,20,552,2,1
Cherif Ndiaye,Red Star Belgrade,2024-25,FW,29,570,2,1
Chris Führich,VfB Stuttgart,2024-25,FW,27,506,1,0
Chris-Kévin Nadje,Feyenoord Rotterdam,2024-25,MF,23,91,0,0
Christian Mawissa,AS Monaco,2024-25,DF,20,295,0,0
Christian Pulisic,AC Milan,2024-25,FW,26,633,4,1
Christoph Baumgartner,RB Leipzig,2024-25,MF,25,482,2,0
Christos Tzolis,Club Brugge KV,2024-25,FW,23,940,1,3
Chuba Akpom,LOSC Lille,2024-25,FW,29,23,0,0
Clément Lenglet,Atlético de Madrid,2024-25,DF,29,631,0,0
Cody Gakpo,Liverpool FC,2024-25,FW,26,369,3,1
Cole Campbell,Borussia Dortmund,2024-25,FW,19,13,0,0
Conor Bradley,Liverpool FC,2024-25,DF,21,277,0,1
Conor Gallagher,Atlético de Madrid,2024-25,MF,25,468,1,1
Conrad Harder,Sporting CP,2024-25,FW,20,323,1,0
Couhaib Driouech,PSV Eindhoven,2024-25,FW,23,151,1,0
Cristhian Stuani,Girona FC,2024-25,FW,38,279,0,0
Curtis Jones,Liverpool FC,2024-25,MF,24,351,0,2
César Azpilicueta,Atlético de Madrid,2024-25,DF,35,112,0,0
Daizen Maeda,Celtic FC,2024-25,FW,27,762,4,1
Daley Blind,Girona FC,2024-25,DF,35,323,0,0
Dan Ndoye,Bologna Football Club 1909,2024-25,FW,24,619,0,0
Dan-Axel Zagadou,VfB Stuttgart,2024-25,DF,25,1,0,0
Dane Murray,Celtic FC,2024-25,DF,21,8,0,0
Dani Ceballos,Real Madrid,2024-25,MF,28,406,0,1
Dani Olmo,FC Barcelona,2024-25,MF,27,438,2,1
Daniel Bragança,Sporting CP,2024-25,MF,26,315,1,2
Daniel Carvajal,Real Madrid,2024-25,DF,33,180,0,1
Daniel Cummings,Celtic FC,2024-25,FW,19,11,0,0
Daniel Peretz,Bayern Munich,2024-25,GK,24,90,0,0
Daniel Svensson,Borussia Dortmund,2024-25,DF,23,353,0,0
Daniil Khudyakov,Sportklub Puntigamer Sturm Graz,2024-25,GK,21,180,0,0
Danijel Zagorac,GNK Dinamo Zagreb,2024-25,GK,38,270,0,0
Danilo,Juventus FC,2024-25,DF,33,231,0,0
Danylo Sikan,FC Shakhtar Donetsk,2024-25,FW,24,221,1,0
Darian Males,BSC Young Boys,2024-25,MF,24,282,0,0
Dario Špikić,GNK Dinamo Zagreb,2024-25,FW,26,184,1,0
Darwin Núñez,Liverpool FC,2024-25,FW,25,464,1,1
David Alaba,Real Madrid,2024-25,DF,32,175,0,0
David López,Girona FC,2024-25,DF,35,367,1,0
David Pavelka,AC Sparta Prague,2024-25,MF,34,11,0,0
David Raum,RB Leipzig,2024-25,DF,27,266,0,1
David Raya,Arsenal FC,2024-25,GK,29,1170,0,0
Davide Bartesaghi,AC Milan,2024-25,DF,19,27,0,0
Davide Calabria,AC Milan,2024-25,DF,28,314,0,0
Davide Frattesi,Inter Milan,2024-25,MF,25,491,2,0
Davide Zappacosta,Atalanta BC,2024-25,MF,32,697,0,5
Dayot Upamecano,Bayern Munich,2024-25,DF,26,990,0,1
Declan Rice,Arsenal FC,2024-25,MF,26,1006,4,2
Denis Zakaria,AS Monaco,2024-25,MF,28,614,1,0
Deniz Undav,VfB Stuttgart,2024-25,FW,28,425,1,1
Denzel Dumfries,Inter Milan,2024-25,DF,29,973,2,3
Diego Carlos,Aston Villa,2024-25,DF,32,485,0,0
Dimitri Lavalée,Sportklub Puntigamer Sturm Graz,2024-25,DF,28,629,0,0
Diogo Jota,Liverpool FC,2024-25,FW,28,237,0,0
Dmytro Kryskiv,FC Shakhtar Donetsk,2024-25,MF,24,674,0,0
Dmytro Riznyk,FC Shakhtar Donetsk,2024-25,GK,26,720,0,0
Dominik Szoboszlai,Liverpool FC,2024-25,MF,24,637,1,1
Donny van de Beek,Girona FC,2024-25,MF,28,454,1,0
Donyell Malen,Borussia Dortmund,2024-25,FW,26,237,2,1
Douglas Luiz,Juventus FC,2024-25,MF,27,305,0,0
Dušan Vlahović,Juventus FC,2024-25,FW,25,548,4,1
Dálcio,Red Star Belgrade,2024-25,MF,29,179,0,0
Dávid Hancko,Feyenoord Rotterdam,2024-25,DF,27,1080,1,1
Désiré Doué,Paris Saint-Germain,2024-25,FW,19,740,5,4
Ederson,Manchester City,2024-25,GK,31,720,0,0
Edimilson Fernandes,Stade Brestois 29,2024-25,MF,29,650,1,0
Edmond Tapsoba,Bayer 04 Leverkusen,2024-25,DF,26,670,0,1
Edon Zhegrova,LOSC Lille,2024-25,FW,26,361,1,1
Eduardo Camavinga,Real Madrid,2024-25,MF,22,496,0,0
Eduardo Quaresma,Sporting CP,2024-25,DF,23,215,0,0
Egor Prutsev,Red Star Belgrade,2024-25,MF,22,8,0,0
Eguinaldo,FC Shakhtar Donetsk,2024-25,FW,20,408,0,1
El Bilal Touré,VfB Stuttgart,2024-25,FW,23,136,1,0
El Chadaille Bitshiabu,RB Leipzig,2024-25,DF,20,268,0,0
Elias Cobbaut,AC Sparta Prague,2024-25,DF,27,159,0,0
Eliesse Ben Seghir,AS Monaco,2024-25,FW,20,544,2,0
Eliot Matazo,AS Monaco,2024-25,MF,23,25,0,0
Eljif Elmas,RB Leipzig,2024-25,MF,25,33,0,0
Emanuel Aiwu,Sportklub Puntigamer Sturm Graz,2024-25,DF,24,540,0,0
Emerson Royal,AC Milan,2024-25,DF,26,317,0,0
Emil Holm,Bologna Football Club 1909,2024-25,DF,25,230,0,0
Emiliano Buendía,Aston Villa,2024-25,FW,28,122,0,0
Emiliano Martínez,Aston Villa,2024-25,GK,32,1080,0,0
Emre Can,Borussia Dortmund,2024-25,DF,31,940,2,1
Endrick,Real Madrid,2024-25,FW,18,135,1,0
Enzo Millot,VfB Stuttgart,2024-25,MF,22,691,2,3
Erencan Yardımcı,Sportklub Puntigamer Sturm Graz,2024-25,FW,23,96,0,0
Eric Dier,Bayern Munich,2024-25,DF,31,295,1,0
Eric García,FC Barcelona,2024-25,DF,24,275,2,0
Erling Haaland,Manchester City,2024-25,FW,24,771,8,0
Ermal Krasniqi,AC Sparta Prague,2024-25,FW,26,157,0,0
Ermedin Demirovic,VfB Stuttgart,2024-25,FW,27,404,1,0
Esmir Bajraktarevic,PSV Eindhoven,2024-25,FW,20,10,0,0
Ethan Mbappé,LOSC Lille,2024-25,FW,18,78,0,0
Ethan Nwaneri,Arsenal FC,2024-25,MF,18,221,2,0
Exequiel Palacios,Bayer 04 Leverkusen,2024-25,MF,26,664,0,0
Ezri Konsa,Aston Villa,2024-25,DF,27,990,1,0
Fabian Bredlow,VfB Stuttgart,2024-25,GK,30,90,0,0
Fabian Rieder,VfB Stuttgart,2024-25,MF,23,239,1,3
Fabián Ruiz,Paris Saint-Germain,2024-25,MF,29,1152,1,4
Facundo González,Feyenoord Rotterdam,2024-25,DF,21,9,0,0
Federico Chiesa,Liverpool FC,2024-25,FW,27,107,0,1
Federico Dimarco,Inter Milan,2024-25,DF,27,569,0,2
Federico Gatti,Juventus FC,2024-25,DF,26,801,0,1
Federico Ravaglia,Bologna Football Club 1909,2024-25,GK,25,90,0,0
Federico Valverde,Real Madrid,2024-25,MF,26,1237,0,3
Felix Nmecha,Borussia Dortmund,2024-25,MF,24,618,1,1
Ferland Mendy,Real Madrid,2024-25,DF,29,888,0,1
Fermín López,FC Barcelona,2024-25,MF,22,451,1,4
Ferran Jutglà,Club Brugge KV,2024-25,FW,26,857,2,2
Ferran Torres,FC Barcelona,2024-25,FW,25,419,3,1
Fikayo Tomori,AC Milan,2024-25,DF,27,564,0,1
Filip Panák,AC Sparta Prague,2024-25,DF,29,561,0,1
Filip Ugrinic,BSC Young Boys,2024-25,MF,26,598,0,1
Filippo Terracciano,AC Milan,2024-25,DF,22,60,0,0
Florentino,SL Benfica,2024-25,MF,25,717,0,0
Florian Wirtz,Bayer 04 Leverkusen,2024-25,MF,22,766,6,1
Folarin Balogun,AS Monaco,2024-25,FW,23,93,0,1
