player_id,player,team,season,position,age,minutes,goals,assists,feature_cutoff,valuation_date,market_value_eur_m
48859,Simon Kjær,AC Milan,2021-22,DF,33,270,0,0,2022-05-28,2022-06-07,6.0
49499,Georginio Wijnaldum,Paris Saint-Germain,2021-22,MF,31,261,2,0,2022-05-28,2022-05-30,18.0
50057,Aaron Ramsey,Juventus FC,2021-22,MF,31,14,0,0,2022-05-28,2022-06-07,3.0
50202,Eden Hazard,Real Madrid,2021-22,FW,31,83,0,0,2022-05-28,2022-06-03,12.0
51174,Fernando (51174),Sevilla FC,2021-22,MF,34,540,0,0,2022-05-28,2022-06-03,4.0
51471,Mateo Kovacic,Chelsea FC,2021-22,MF,28,427,0,1,2022-05-28,2022-06-15,42.0
51894,Mert Günok,Beşiktaş Jimnastik Kulübü,2021-22,GK,33,90,0,0,2022-05-28,2022-06-01,0.9
51977,Pavao Pervan,VfL Wolfsburg,2021-22,GK,34,90,0,0,2022-05-28,2022-06-09,0.6
53418,Kevin Kampl,RB Leipzig,2021-22,MF,31,270,0,0,2022-05-28,2022-06-09,6.0
53622,İlkay Gündoğan,Manchester City,2021-22,MF,31,659,0,2,2022-05-28,2022-06-15,25.0
54781,Nicolás Otamendi,SL Benfica,2021-22,DF,34,810,0,0,2022-05-28,2022-05-31,3.5
54906,Matteo Darmian,Inter Milan,2021-22,DF,32,197,0,0,2022-05-28,2022-06-07,5.0
55282,Ciprian Tatarusanu,AC Milan,2021-22,GK,36,270,0,0,2022-05-28,2022-06-07,0.6
55769,Danilo D'Ambrosio,Inter Milan,2021-22,DF,33,146,0,0,2022-05-28,2022-06-07,3.0
56036,Luís Neto,Sporting CP,2021-22,DF,34,367,0,0,2022-05-28,2022-05-31,1.5
57071,Péter Gulácsi,RB Leipzig,2021-22,GK,32,450,0,0,2022-05-28,2022-06-09,8.0
57500,César Azpilicueta,Chelsea FC,2021-22,DF,32,679,1,1,2022-05-28,2022-06-15,9.0
57723,Iván Marcano,FC Porto,2021-22,DF,34,126,0,0,2022-05-28,2022-05-31,0.5
58358,Thomas Müller,Bayern Munich,2021-22,FW,32,779,4,4,2022-05-28,2022-06-09,22.0
58884,Nacho Fernández,Real Madrid,2021-22,DF,32,575,0,0,2022-05-28,2022-06-03,7.0
59016,David Alaba,Real Madrid,2021-22,DF,29,1039,1,0,2022-05-28,2022-06-03,55.0
59377,David de Gea,Manchester United,2021-22,GK,31,630,0,0,2022-05-28,2022-06-15,15.0
59561,Dani Parejo,Villarreal CF,2021-22,MF,33,1058,1,3,2022-05-28,2022-06-03,9.0
60410,Marcos Acuña,Sevilla FC,2021-22,DF,30,379,0,0,2022-05-28,2022-06-03,18.0
60444,Thiago Alcántara,Liverpool FC,2021-22,MF,31,604,1,0,2022-05-28,2022-06-15,20.0
61651,Jordan Henderson,Liverpool FC,2021-22,MF,31,666,1,2,2022-05-28,2022-06-15,15.0
63494,Étienne Capoue,Villarreal CF,2021-22,MF,33,1046,2,4,2022-05-28,2022-06-03,3.0
64339,Pizzi,SL Benfica,2021-22,MF,32,158,0,0,2022-05-28,2022-06-01,4.0
65230,Sergio Busquets,FC Barcelona,2021-22,MF,33,487,0,0,2022-05-28,2022-06-03,9.0
65467,Vicente Iborra,Villarreal CF,2021-22,MF,34,10,0,0,2022-05-28,2022-06-03,2.0
66515,Alex Teixeira,Beşiktaş Jimnastik Kulübü,2021-22,MF,32,184,0,0,2022-05-28,2022-06-01,2.9
68290,Neymar,Paris Saint-Germain,2021-22,MF,30,467,0,2,2022-05-28,2022-05-30,75.0
68863,Mauro Icardi,Paris Saint-Germain,2021-22,FW,29,47,0,0,2022-05-28,2022-05-30,22.0
69751,Jordi Alba,FC Barcelona,2021-22,DF,33,375,0,1,2022-05-28,2022-06-03,9.0
