player,team,season,position,age,minutes,goals,assists,shots,key_passes,dribbles,tackles,interceptions
Franco Cervi,Celta Vigo,2024-25,FW,30.0,273,0,0,0,5,1,8,8
Frenkie de Jong,Barcelona,2024-25,MF,27.0,1143,2,2,5,21,5,19,12
Fábio Silva,Las Palmas,2024-25,FW,22.0,1866,10,3,46,16,21,12,4
Gabriel Osei Misehouy,Girona,2024-25,FW,19.0,257,1,0,6,4,7,1,0
Gavi,Barcelona,2024-25,MF,19.0,1085,1,1,11,14,9,30,10
Gerard Gumbau,Rayo Vallecano,2024-25,MF,29.0,849,0,1,13,17,2,17,5
Gerard Martín,Barcelona,2024-25,DF,22.0,1038,1,3,7,12,4,22,13
Gerard Moreno,Villarreal,2024-25,FW,32.0,721,3,2,23,17,18,7,2
Germán Valera,Valencia,2024-25,MF,22.0,148,0,0,3,1,3,1,4
Giorgi Mamardashvili,Valencia,2024-25,GK,23.0,3060,0,0,0,2,0,2,1
Giovani Lo Celso,Betis,2024-25,MF,28.0,1457,8,3,31,43,21,34,5
Giuliano Simeone,Atlético Madrid,2024-25,MF,21.0,1926,2,6,22,24,30,27,14
Gonzalo García,Real Madrid,2024-25,FW,20.0,56,0,1,1,1,0,0,0
Gonzalo Montiel,Sevilla,2024-25,DF,27.0,113,0,0,1,0,0,4,2
Gorka Guruzeta,Athletic Club,2024-25,FW,27.0,1840,7,2,59,15,11,16,9
Gorka Rivera Alonso,Getafe,2024-25,DF,19.0,20,0,0,0,0,0,2,0
Hamari Traoré,Real Sociedad,2024-25,DF,32.0,700,0,1,1,3,6,19,9
Henrique,Valladolid,2024-25,DF,30.0,352,0,0,1,2,3,6,3
Hugo Duro,Valencia,2024-25,FW,24.0,2166,11,2,48,14,7,13,10
Hugo Guillamón,Valencia,2024-25,MF,24.0,364,0,0,2,2,1,11,5
Hugo Novoa,Alavés,2024-25,DF,21.0,237,0,0,1,2,3,8,0
Hugo Sotelo,Celta Vigo,2024-25,MF,20.0,1254,0,0,4,19,8,28,5
Hugo Álvarez,Celta Vigo,2024-25,MF,21.0,1572,4,3,25,17,32,26,8
Héctor Bellerín,Betis,2024-25,DF,29.0,580,0,2,1,8,6,13,6
