player,team,season,position,age,minutes,goals,assists,shots,key_passes,dribbles,tackles,interceptions
Mohamed Daramy,Reims,2024-25,FW,22.0,16,0,0,1,1,0,0,0
Mohamed Lamine Bayo,Lille,2024-25,FW,26.0,309,2,1,10,4,2,1,0
Mohamed Meité,Rennes,2024-25,FW,16.0,544,2,0,15,5,1,2,0
Mohammed Salisu,Monaco,2024-25,DF,25.0,1023,1,0,8,3,0,28,16
Morgan Sanson,Nice,2024-25,MF,29.0,235,3,0,9,1,2,6,4
Mory Gbane,Reims,2024-25,DF,23.0,1125,0,1,4,7,5,20,18
Moses Simon,Nantes,2024-25,FW,29.0,2609,8,10,40,56,65,20,12
Mostafa Mohamed,Nantes,2024-25,FW,26.0,1252,5,0,43,6,12,18,10
Moussa Niakhate,Lyon,2024-25,DF,28.0,2726,0,0,2,7,3,47,25
Moïse Bombito,Nice,2024-25,DF,24.0,2192,0,0,8,2,12,37,18
Musa Al-Taamari,Montpellier,2024-25,FW,27.0,1683,3,1,41,22,30,18,5
Naatan Skyttä,Toulouse,2024-25,FW,22.0,5,0,0,0,0,0,1,0
Nabil Bentaleb,Lille,2024-25,MF,29.0,329,1,0,5,1,0,4,5
Nampalys Mendy,Lens,2024-25,MF,32.0,588,0,1,3,1,1,15,9
Naouirou Ahamada,Rennes,2024-25,MF,22.0,58,0,0,1,0,0,0,2
Nathan Zeze,Nantes,2024-25,DF,19.0,1512,0,0,6,1,3,38,23
Neal Maupay,Marseille,2024-25,FW,27.0,1042,4,4,19,13,6,9,2
Neil El Aynaoui,Lens,2024-25,MF,23.0,1588,8,1,16,22,5,39,30
Nemanja Matić,Lyon,2024-25,MF,35.0,2010,0,1,2,17,8,42,18
Ngal'Ayel Mukau,Lille,2024-25,MF,19.0,1190,0,1,11,12,9,33,15
Nhoa Sangui,Reims,2024-25,DF,18.0,1158,0,2,3,5,10,16,8
Niama Sissoko,Reims,2024-25,FW,18.0,47,0,0,3,0,0,0,0
Nicolas Cozza,Nantes,2024-25,DF,25.0,2051,1,0,17,7,5,59,25
Nicolas Pallois,Nantes,2024-25,DF,36.0,2017,0,2,3,3,3,61,28
Nicolas Pays,Montpellier,2024-25,FW,20.0,447,0,0,11,3,10,13,4
Nicolás Tagliafico,Lyon,2024-25,DF,31.0,1902,3,1,28,5,1,57,36
Niklas Schmidt,Toulouse,2024-25,MF,26.0,205,0,1,3,5,0,6,1
Nikola Maksimović,Montpellier,2024-25,DF,32.0,581,0,0,1,2,2,9,6
Noah Edjouma,Toulouse,2024-25,MF,18.0,171,2,0,5,1,4,2,2
Noham Kamara,Paris S-G,2024-25,DF,17.0,76,0,0,0,0,0,1,1
Nordine Kandil,Strasbourg,2024-25,MF,22.0,10,0,0,0,0,1,0,0
Nuno Mendes,Paris S-G,2024-25,DF,22.0,1676,1,3,21,30,31,30,18
Orel Mangala,Lyon,2024-25,MF,26.0,67,0,0,1,1,0,1,0
Osame Sahraoui,Lille,2024-25,FW,23.0,1293,3,3,23,29,35,13,7
Othmane Maamma,Montpellier,2024-25,FW,18.0,361,1,1,10,3,7,3,1
Oumar Diakité,Reims,2024-25,FW,20.0,1628,4,1,26,11,20,20,3
Ousmane Camara,Angers,2024-25,DF,21.0,252,0,0,1,1,0,4,0
Ousmane Dembélé,Paris S-G,2024-25,FW,27.0,1730,21,6,96,63,42,11,9
Ousmane Toure,Lille,2024-25,DF,19.0,6,0,0,0,0,0,0,1
Oussama Targhalline,Le Havre,2024-25,MF,22.0,990,0,0,5,6,5,19,19
Pablo Rosario,Nice,2024-25,MF,27.0,1775,3,1,16,16,9,30,31
Patrik Carlgren,Nantes,2024-25,GK,32.0,417,0,0,0,0,0,0,0
Paul Akouokou,Lyon,2024-25,MF,26.0,19,0,0,0,0,0,1,1
Paul Joly,Auxerre,2024-25,DF,24.0,1009,0,1,10,16,6,49,25
Pedro Chirivella,Nantes,2024-25,MF,27.0,2348,0,2,8,19,3,44,19
Philipp Köhn,Monaco,2024-25,GK,26.0,1710,0,0,0,0,0,0,0
Pierre Cornud,Saint-Étienne,2024-25,DF,27.0,576,0,0,0,3,2,12,9
Pierre Ekwah Elimby,Saint-Étienne,2024-25,MF,22.0,2575,1,0,25,16,18,54,47
Pierre Højbjerg,Marseille,2024-25,MF,28.0,2664,2,4,33,43,7,64,42
Pierre Lees-Melou,Brest,2024-25,MF,31.0,1526,2,2,22,19,12,48,12
Pierrick Capelle,Angers,2024-25,MF,37.0,483,0,0,6,5,8,24,11
Pol Lirola,Marseille,2024-25,DF,26.0,680,1,2,6,8,1,13,4
Presnel Kimpembe,Paris S-G,2024-25,DF,28.0,23,0,0,0,0,0,1,0
Prosper Peter,Angers,2024-25,MF,16.0,27,0,0,0,0,0,2,0
Przemysław Frankowski,Lens,2024-25,DF,29.0,1387,4,2,14,20,6,32,19
Quentin Merlin,Marseille,2024-25,DF,22.0,1589,1,3,26,25,4,22,14
Rabby Nzingoula,Montpellier,2024-25,MF,18.0,1689,1,0,19,8,25,64,29
Radosław Majecki,Monaco,2024-25,GK,24.0,1350,0,0,0,0,0,0,0
Rafik Messali,Toulouse,2024-25,DF,21.0,456,0,1,4,11,4,15,10
Randal Kolo Muani,Paris S-G,2024-25,FW,25.0,358,2,1,15,5,7,4,0
Rareş Ilie,Nice,2024-25,MF,21.0,13,0,0,1,4,3,1,0
Rasmus Nicolaisen,Toulouse,2024-25,DF,27.0,623,0,1,5,2,1,6,10
Rassoul Ndiaye,Le Havre,2024-25,MF,22.0,1061,1,0,18,10,3,35,12
Rayan Cherki,Lyon,2024-25,FW,20.0,2041,8,11,45,75,48,15,7
Rayan Fofana,Lens,2024-25,FW,18.0,25,0,0,0,0,0,2,0
Rayan Raveloson,Auxerre,2024-25,MF,27.0,724,1,0,16,3,7,6,5
Reda Khadra,Reims,2024-25,MF,23.0,78,0,0,0,1,4,1,0
Robinio Vaz,Marseille,2024-25,FW,17.0,75,0,0,2,0,0,1,0
Romain Del Castillo,Brest,2024-25,FW,28.0,1259,6,4,17,37,19,31,6
Romain Faivre,Brest,2024-25,MF,26.0,899,3,2,18,10,17,13,4
Ruben Aguilar,Lens,2024-25,DF,31.0,1124,1,2,11,11,9,34,13
Rudy Matondo,Auxerre,2024-25,MF,16.0,66,0,0,0,0,0,1,0
Rémy Cabella,Lille,2024-25,FW,34.0,1011,1,2,30,26,19,39,8
Rémy Descamps,Lyon,2024-25,GK,28.0,90,0,0,0,0,0,0,0
Rémy Labeau Lascary,Lens,2024-25,FW,21.0,637,2,1,14,7,12,16,1
Sael Kumbedi,Lyon,2024-25,DF,19.0,951,0,0,4,5,9,28,8
Saidou Sow,Strasbourg,2024-25,DF,22.0,1817,1,1,9,4,5,26,28
Samuel Amo-Ameyaw,Strasbourg,2024-25,DF,18.0,320,2,0,9,5,5,5,3
Samuel Grandsir,Le Havre,2024-25,MF,27.0,84,0,0,0,3,0,5,0
Saïd Benrahma,Lyon,2024-25,FW,28.0,735,1,3,17,14,8,9,3
Saïmon Bouabré,Monaco,2024-25,MF,18.0,97,0,0,0,0,0,1,0
Sebastian Nanasi,Strasbourg,2024-25,MF,22.0,2107,6,4,28,37,19,20,7
Seko Fofana,Rennes,2024-25,MF,29.0,844,1,1,24,13,12,11,7
Sekou Mara,Strasbourg,2024-25,FW,22.0,768,1,1,19,5,11,9,3
Senny Mayulu,Paris S-G,2024-25,MF,18.0,808,2,2,25,12,15,25,5
Sergio Akieme,Reims,2024-25,DF,26.0,2523,2,3,26,21,13,34,17
Shavy Babicka,Toulouse,2024-25,MF,24.0,1186,4,2,20,13,11,21,3
Sidiki Cherif,Angers,2024-25,FW,17.0,324,0,0,5,2,3,5,0
Simon Cara,Montpellier,2024-25,MF,19.0,9,0,0,0,0,0,0,0
Sinaly Diomande,Auxerre,2024-25,DF,23.0,1945,3,2,9,4,8,39,30
Sofiane Diop,Nice,2024-25,MF,24.0,1064,6,4,22,24,10,23,17
Sorba Thomas,Nantes,2024-25,FW,24.0,1321,1,3,9,36,9,14,9
Soumaïla Coulibaly,Brest,2024-25,DF,20.0,438,0,0,4,1,0,4,5
Soungoutou Magassa,Monaco,2024-25,MF,20.0,1025,0,1,8,7,15,47,21
Stefan Džodić,Montpellier,2024-25,DF,19.0,242,0,0,3,0,0,8,5
Steve Mandanda,Rennes,2024-25,GK,39.0,1486,0,0,0,2,2,0,0
Steve Ngoura,Le Havre,2024-25,FW,19.0,289,0,0,10,2,7,4,0
Sékou Doucoure,Nantes,2024-25,DF,19.0,12,0,0,0,0,0,0,0
Sérigné Diop,Brest,2024-25,FW,19.0,4,0,0,0,0,0,1,0
Takumi Minamino,Monaco,2024-25,MF,29.0,2231,6,3,57,40,12,33,10
Tanguy Coulibaly,Montpellier,2024-25,FW,23.0,1485,3,0,30,18,29,32,11
Tanguy Ndombele,Nice,2024-25,MF,27.0,1131,1,2,11,18,25,35,14
Tanner Tessmann,Lyon,2024-25,MF,22.0,1234,1,0,18,7,10,25,19
Teddy Teuma,Reims,2024-25,MF,30.0,750,1,0,13,13,3,18,12
Terem Moffi,Nice,2024-25,FW,25.0,58,1,0,6,0,1,0,0
Theo Bair,Auxerre,2024-25,FW,24.0,939,2,1,26,10,2,4,3
Thiago Almada,Lyon,2024-25,MF,23.0,951,1,4,23,22,8,14,7
Thibault De Smet,Reims,2024-25,DF,26.0,192,0,0,1,0,0,6,4
Thilo Kehrer,Monaco,2024-25,DF,27.0,2383,4,0,12,5,1,37,36
Thomas Delaine,Strasbourg,2024-25,DF,32.0,9,0,0,0,0,0,1,1
Thomas Meunier,Lille,2024-25,DF,32.0,1928,2,0,28,13,14,53,34
Théo Chennahi,Montpellier,2024-25,DF,19.0,181,0,0,2,1,0,6,2
Théo De Percin,Auxerre,2024-25,GK,23.0,180,0,0,0,0,0,0,0
Théo Pellenard,Auxerre,2024-25,DF,30.0,45,0,0,0,0,0,3,0
Théo Sainte-Luce,Montpellier,2024-25,DF,25.0,1018,1,0,8,8,12,24,12
Tiago Santos,Lille,2024-25,DF,22.0,404,0,0,8,5,12,12,2
Timothee Pembele,Le Havre,2024-25,DF,21.0,1113,1,0,8,3,15,30,11
Tino Kadewere,Nantes,2024-25,MF,28.0,512,1,2,8,8,4,14,6
Tom Louchet,Nice,2024-25,DF,21.0,775,1,0,12,14,4,27,18
Tom Pouilly,Lens,2024-25,DF,21.0,273,0,0,5,3,2,9,4
Téji Savanier,Montpellier,2024-25,MF,32.0,2363,2,5,45,67,27,29,15
Téo Barisic,Lyon,2024-25,DF,19.0,2,0,0,0,0,0,0,0
Ulisses Garcia,Marseille,2024-25,DF,28.0,930,2,2,8,8,7,14,8
Valentin Atangana Edoa,Reims,2024-25,MF,18.0,2854,1,0,33,12,14,69,37
Valentin Carboni,Marseille,2024-25,MF,19.0,103,0,0,2,3,0,2,1
Valentin Rongier,Marseille,2024-25,MF,29.0,1562,3,1,14,11,11,50,33
Valentín Barco,Strasbourg,2024-25,MF,20.0,1157,0,2,10,8,9,36,13
Vanderson,Monaco,2024-25,DF,23.0,2064,1,3,21,23,24,76,39
Victor Orakpo,Nice,2024-25,FW,18.0,36,0,0,2,0,2,0,0
Vincent Sierro,Toulouse,2024-25,MF,28.0,2402,5,1,30,30,12,44,16
Vitinha,Paris S-G,2024-25,MF,24.0,2042,5,1,25,27,27,43,14
Wahbi Khazri,Montpellier,2024-25,FW,33.0,1118,1,1,36,18,7,25,5
Waren Kamanzi,Toulouse,2024-25,DF,23.0,1022,1,1,7,12,16,29,9
Warmed Omari,Lyon,2024-25,DF,24.0,8,0,0,0,0,0,0,0
Warren Zaïre-Emery,Paris S-G,2024-25,MF,18.0,2050,1,2,17,18,20,51,23
Wesley Saïd,Lens,2024-25,FW,29.0,905,3,0,17,9,9,16,2
Wilfried Ndollo,Montpellier,2024-25,DF,19.0,401,0,0,0,1,1,6,7
Wilfried Singo,Monaco,2024-25,DF,23.0,2096,1,2,17,7,6,37,43
Wilfried Zaha,Lyon,2024-25,FW,31.0,73,0,0,1,0,3,1,1
Willian Pacho,Paris S-G,2024-25,DF,22.0,2132,0,1,4,3,2,56,40
Yael Mouanga,Montpellier,2024-25,DF,19.0,946,0,0,1,2,5,14,10
Yael Nandjou,Nice,2024-25,DF,19.0,154,0,0,1,2,1,4,4
Yahia Fofana,Angers,2024-25,GK,23.0,2970,0,0,0,1,2,0,1
Yanis Issoufou,Montpellier,2024-25,MF,17.0,77,0,0,2,0,1,6,0
Yanis Zouaoui,Le Havre,2024-25,DF,30.0,976,0,2,5,28,13,20,8
Yann Gboho,Toulouse,2024-25,MF,23.0,2333,5,4,50,30,50,31,6
Yassin Belkhdim,Angers,2024-25,MF,22.0,1523,1,1,9,5,2,53,21
Yassine Kechta,Le Havre,2024-25,MF,22.0,2096,2,0,29,15,13,60,26
Yaya Kader Fofana,Reims,2024-25,MF,20.0,634,1,1,13,7,14,17,3
Yehvann Diouf,Reims,2024-25,GK,24.0,3060,0,0,1,0,2,2,1
Yoann Cissé,Auxerre,2024-25,MF,19.0,5,0,0,0,0,0,0,1
Yoann Salmier,Le Havre,2024-25,DF,31.0,797,0,0,5,2,4,14,10
Yoram Zague,Paris S-G,2024-25,DF,18.0,183,0,0,1,2,2,8,2
Younes Lachaab,Lille,2024-25,MF,19.0,9,0,0,1,0,1,1,1
Youssouf Ndayishimiye,Nice,2024-25,DF,25.0,1932,3,0,11,5,6,40,21
Youssoufa Moukoko,Nice,2024-25,FW,19.0,204,2,1,6,5,2,3,0
Yunis Abdelhamid,Saint-Étienne,2024-25,DF,36.0,1033,0,0,2,2,3,17,14
Yvann Macon,Saint-Étienne,2024-25,DF,25.0,790,0,0,10,6,9,19,2
Zakaria Aboukhlal,Toulouse,2024-25,MF,24.0,1901,7,2,62,12,16,22,6
Zinedine Ferhat,Angers,2024-25,FW,31.0,849,2,0,12,17,10,9,10
Zinédine Ould Khaled,Angers,2024-25,MF,24.0,343,0,0,1,0,0,9,2
Zuriko Davitashvili,Saint-Étienne,2024-25,FW,23.0,2778,9,8,68,50,46,22,14
Álex Domínguez,Toulouse,2024-25,GK,26.0,19,0,0,0,0,0,0,0
Óscar Perea,Strasbourg,2024-25,MF,18.0,14,0,0,1,0,2,0,0
Ümit Akdag,Toulouse,2024-25,DF,20.0,500,0,0,2,2,1,8,11
Đorđe Petrović,Strasbourg,2024-25,GK,24.0,2790,0,0,0,0,1,1,0
