player,team,season,position,age,minutes,goals,assists,shots,key_passes,dribbles,tackles,interceptions
Etienne Youte Kinkoue,Le Havre,2024-25,DF,22.0,2320,0,0,14,3,2,19,29
Evann Guessand,Nice,2024-25,FW,23.0,2565,12,8,63,32,49,44,15
Fabien Centonze,Nantes,2024-25,DF,28.0,265,0,0,0,3,2,8,2
Fabián Ruiz Peña,Paris S-G,2024-25,MF,28.0,1923,4,5,43,36,14,37,16
Facundo Medina,Lens,2024-25,DF,25.0,2543,0,1,27,24,10,44,32
Falaye Sacko,Montpellier,2024-25,DF,29.0,1233,0,1,0,7,2,14,13
Farid El Melali,Angers,2024-25,FW,27.0,1893,2,3,46,25,52,28,16
Faris Pemi Moumbagna,Marseille,2024-25,FW,24.0,8,0,0,0,0,0,0,0
Florent Hanin,Angers,2024-25,DF,34.0,2672,1,2,11,25,11,69,47
Florent Mollet,Nantes,2024-25,MF,32.0,242,0,0,6,6,2,2,1
Florian Ayé,Auxerre,2024-25,FW,27.0,575,2,0,12,3,2,2,7
Florian Sotoca,Lens,2024-25,FW,33.0,1794,1,1,47,18,16,22,14
Florian Tardieu,Saint-Étienne,2024-25,MF,32.0,1252,2,4,16,19,3,18,15
Fodé Ballo-Touré,Le Havre,2024-25,DF,27.0,589,0,0,0,1,5,8,4
Folarin Balogun,Monaco,2024-25,FW,23.0,615,4,0,31,6,4,1,1
Francis Coquelin,Nantes,2024-25,MF,33.0,224,1,1,7,5,1,9,6
Frank Magri,Toulouse,2024-25,FW,24.0,1516,5,1,44,9,4,8,4
Fredrik Oppegard,Auxerre,2024-25,DF,21.0,273,0,0,3,2,1,6,2
Félix Lemaréchal,Strasbourg,2024-25,MF,20.0,1779,4,3,25,29,24,35,14
Gabin Capuano,Lens,2024-25,FW,18.0,11,0,0,0,0,0,0,0
Gabriel Bares,Montpellier,2024-25,MF,23.0,56,0,0,0,0,1,2,1
Gabriel Gudmundsson,Lille,2024-25,DF,25.0,1785,2,0,18,16,20,36,17
Gabriel Moscardo,Reims,2024-25,MF,18.0,84,0,0,2,0,1,3,0
Gabriel Osho,Auxerre,2024-25,DF,25.0,1654,1,0,7,1,4,23,12
Gabriel Suazo,Toulouse,2024-25,DF,26.0,2163,0,6,7,40,25,59,36
Gauthier Gallon,Rennes,2024-25,GK,31.0,45,0,0,0,0,0,0,0
Gautier Larsonneur,Saint-Étienne,2024-25,GK,27.0,3060,0,0,0,1,0,1,0
Gautier Lloris,Le Havre,2024-25,DF,29.0,2768,2,1,11,5,4,68,34
Gaëtan Laborde,Nice,2024-25,FW,30.0,1829,11,4,70,27,18,19,6
Gaëtan Perrin,Auxerre,2024-25,MF,28.0,2691,10,11,59,73,60,49,12
Geoffrey Kondogbia,Marseille,2024-25,DF,31.0,2020,0,0,8,5,10,60,22
George Ilenikhena,Monaco,2024-25,FW,17.0,717,3,2,21,9,3,4,2
Georges Mikautadze,Lyon,2024-25,FW,23.0,1449,11,6,52,21,17,7,4
Gerónimo Rulli,Marseille,2024-25,GK,32.0,3060,0,0,0,2,0,4,1
Gianluigi Donnarumma,Paris S-G,2024-25,GK,25.0,2091,0,0,0,0,0,1,0
Gideon Mensah,Auxerre,2024-25,DF,26.0,2280,0,1,4,22,29,68,50
Gift Orban,Lyon,2024-25,FW,22.0,186,2,0,4,1,2,0,0
Glen Kamara,Rennes,2024-25,MF,28.0,662,0,1,1,5,4,23,7
Goduine Koyalipou,Lens,2024-25,FW,24.0,885,4,0,42,10,12,3,1
Gonçalo Ramos,Paris S-G,2024-25,FW,23.0,1066,10,3,52,15,1,11,0
Grégoire Coudert,Brest,2024-25,GK,25.0,180,0,0,0,0,0,0,0
Guela Doué,Strasbourg,2024-25,DF,21.0,2717,1,2,18,11,27,65,34
Guillaume Restes,Toulouse,2024-25,GK,19.0,2543,0,1,0,1,0,2,1
Guimissongui Ouattara,Strasbourg,2024-25,DF,18.0,471,1,1,5,3,2,6,9
Habib Diarra,Strasbourg,2024-25,MF,20.0,2352,4,5,25,27,13,22,13
Hafiz Ibrahim,Reims,2024-25,FW,18.0,391,0,1,7,4,3,3,2
Hamed Junior Traorè,Auxerre,2024-25,MF,24.0,2093,10,2,68,27,34,41,8
Hamidou Makalou,Brest,2024-25,FW,18.0,32,0,0,0,0,1,0,0
Hamzat Ojediran,Lens,2024-25,MF,20.0,416,1,0,10,2,6,28,10
Han-Noah Massengo,Auxerre,2024-25,MF,23.0,1046,0,0,6,3,10,17,17
Hans Hateboer,Rennes,2024-25,DF,30.0,1684,0,0,8,15,6,31,29
Haris Belkebla,Angers,2024-25,MF,30.0,1792,0,1,3,5,9,56,35
Henrik Meister,Rennes,2024-25,FW,20.0,63,1,0,2,2,0,2,1
Hervé Koffi,Lens,2024-25,GK,27.0,450,0,0,0,0,0,1,0
Hianga Mananga Mbock,Brest,2024-25,MF,24.0,21,0,0,1,0,0,0,1
Hicham Boudaoui,Nice,2024-25,MF,24.0,2435,2,3,39,22,25,76,22
Himad Abdelli,Angers,2024-25,MF,24.0,2842,6,1,35,39,57,48,26
Hiroki Sekine,Reims,2024-25,DF,21.0,887,0,0,5,3,6,9,5
Hugo Magnetti,Brest,2024-25,MF,26.0,2323,1,0,19,6,9,52,18
Hákon Arnar Haraldsson,Lille,2024-25,MF,21.0,1755,5,3,35,35,27,36,8
Ibrahim Mbaye,Paris S-G,2024-25,FW,16.0,340,1,1,12,3,5,4,2
Ibrahim Salah,Brest,2024-25,FW,22.0,358,1,1,13,6,9,4,2
Ibrahim Sissoko,Saint-Étienne,2024-25,FW,28.0,819,3,1,21,7,3,11,2
Ibrahima Niane,Angers,2024-25,FW,25.0,943,3,1,29,9,6,7,2
Ibrahima Wadji,Saint-Étienne,2024-25,FW,29.0,347,0,0,12,1,7,7,1
Ignatius Ganago,Nantes,2024-25,FW,25.0,241,0,0,7,5,5,1,4
Igor Miladinović,Saint-Étienne,2024-25,FW,21.0,26,0,0,0,0,0,0,1
Ike Orazi,Reims,2024-25,MF,17.0,3,0,0,0,0,0,0,0
Ilyes Housni,Le Havre,2024-25,FW,19.0,230,0,0,5,2,3,7,1
Irvin Cardona,Saint-Étienne,2024-25,FW,26.0,1063,5,3,23,15,6,6,4
Ismail Jakobs,Monaco,2024-25,DF,24.0,180,0,0,0,4,0,5,2
Ismaily,Lille,2024-25,DF,34.0,904,0,1,10,5,8,33,13
Ismaël Bennacer,Marseille,2024-25,MF,26.0,646,0,2,3,13,7,21,10
Ismaël Doukouré,Strasbourg,2024-25,DF,21.0,2639,1,1,3,11,13,40,25
Ismaël Koné,Rennes,2024-25,MF,22.0,829,2,1,10,9,8,17,8
Issa Soumaré,Le Havre,2024-25,FW,23.0,1902,5,4,43,28,16,25,16
Issiaga Camara,Nice,2024-25,MF,19.0,20,0,0,0,0,0,2,3
Issiaga Sylla,Montpellier,2024-25,DF,30.0,1156,1,0,11,7,9,25,10
Jacques Ekomie,Angers,2024-25,DF,20.0,697,0,0,1,0,4,22,4
Jaydee Canvot,Toulouse,2024-25,DF,18.0,1106,0,0,5,4,7,23,11
Jean-Charles Castelletto,Nantes,2024-25,DF,29.0,2620,0,0,17,2,3,34,25
Jean-Eudes Aholou,Angers,2024-25,MF,30.0,1959,2,0,27,10,12,56,33
Jean-Kevin Duverne,Nantes,2024-25,DF,27.0,537,0,0,4,1,2,21,8
Jean-Philippe Gbamin,Nantes,2024-25,MF,28.0,216,0,0,2,0,1,2,3
Jeremie Boga,Nice,2024-25,MF,27.0,1054,1,2,30,24,25,10,3
Jeremy Agbonifo,Lens,2024-25,FW,18.0,300,1,0,6,3,9,7,1
Jhoanner Chávez,Lens,2024-25,DF,22.0,596,1,0,5,9,3,9,6
Jibril Othman,Saint-Étienne,2024-25,FW,20.0,5,0,0,0,0,0,0,0
Jim Allevinah,Angers,2024-25,FW,29.0,1750,1,3,35,15,15,19,12
Johann Lepenant,Nantes,2024-25,MF,21.0,2048,2,1,20,8,18,68,18
John Joe,Reims,2024-25,MF,20.0,545,0,0,8,1,6,24,6
Jon Rowe,Marseille,2024-25,FW,21.0,807,3,3,36,18,20,15,2
Jonas Martin,Brest,2024-25,MF,34.0,496,1,0,3,3,2,13,8
Jonathan Clauss,Nice,2024-25,DF,31.0,2303,3,8,26,55,11,52,48
Jonathan David,Lille,2024-25,FW,24.0,2554,16,5,66,36,20,24,7
Jonathan Gradit,Lens,2024-25,DF,31.0,2112,0,0,16,11,3,44,25
