date,season,home_team,away_team,elo_diff,ppg5_diff,gd10_diff,morale_diff,att_vs_def,def_vs_att,streak_diff,h2h_rate,h2h_gd,home_goals,away_goals,outcome
1993-09-05,1993-94,Ath Bilbao,Albacete,72.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,4,1,2
1993-09-05,1993-94,Ath Madrid,Logrones,72.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,1,0,2
1993-09-05,1993-94,Barcelona,Sociedad,72.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,3,0,2
1993-09-05,1993-94,La Coruna,Celta,72.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0,0,1
1993-09-05,1993-94,Osasuna,Real Madrid,72.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,1,4,0
1993-09-05,1993-94,Oviedo,Valencia,72.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0,3,0
1993-09-05,1993-94,Santander,Vallecano,72.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,1,0,2
1993-09-05,1993-94,Tenerife,Lerida,72.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,1,0,2
1993-09-05,1993-94,Valladolid,Sp Gijon,72.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0,1,0
1993-09-05,1993-94,Zaragoza,Sevilla,72.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,1,2,0
1993-09-12,1993-94,Vallecano,Tenerife,45.0558038860072,-3.0,-2.0,-0.23870514409516985,0.0,0.0,-1,0.5,0.0,4,3,2
1993-09-12,1993-94,Valencia,Ath Madrid,87.26643118791435,0.0,2.0,0.06129485590483014,0.4338345772997376,-0.14747398161431313,0,0.5,0.0,2,2,1
1993-09-12,1993-94,Sp Gijon,La Coruna,94.43400741769688,1.5,1.0,0.21129485590483013,0.14617671645858699,0.0,0,0.5,0.0,0,2,0
1993-09-12,1993-94,Sociedad,Zaragoza,73.4034875767154,0.0,-2.0,0.06129485590483014,-0.29235343291717397,0.2854963275962503,0,0.5,0.0,2,2,1
1993-09-12,1993-94,Sevilla,Osasuna,121.1293747991133,3.0,4.0,0.3612948559048301,-0.28609267014914286,-0.0015651906920077785,1,0.5,0.0,1,1,1
1993-09-12,1993-94,Lerida,Ath Bilbao,39.54054396551646,-3.0,-4.0,-0.23870514409516985,-0.15356012962077892,-0.4382854999025714,-1,0.5,0.0,1,2,0
1993-09-12,1993-94,Logrones,Santander,45.0558038860072,-3.0,-2.0,-0.23870514409516985,0.0,0.0,-1,0.5,0.0,0,1,0
1993-09-12,1993-94,Celta,Oviedo,102.78169110840508,1.5,3.0,0.21129485590483013,-0.4338345772997376,0.0,1,0.5,0.0,1,1,1
1993-09-12,1993-94,Albacete,Barcelona,34.02528404502573,-3.0,-6.0,-0.23870514409516985,0.15356012962077892,0.14643987037922113,-1,0.5,0.0,0,0,1
1993-09-12,1993-94,Real Madrid,Valladolid,121.1293747991133,3.0,4.0,0.3612948559048301,0.43226938660772984,0.15538847423342084,1,0.5,0.0,1,3,0
1993-09-19,1993-94,Santander,Valencia,78.30871472369472,0.75,-0.5,0.16334058473672375,-0.024782569181793557,-0.6747340060886706,0,0.5,0.0,0,1,0
1993-09-19,1993-94,Zaragoza,Albacete,73.65455897505967,0.0,1.0,0.0029642991432443783,-0.0750467171574487,0.42587525668023374,0,0.5,0.0,1,1,1
1993-09-19,1993-94,Valladolid,Sevilla,62.5899707821452,-0.75,0.0,-0.0023561717766067136,0.1648943533271252,-0.11962490022728045,-1,0.5,0.0,2,2,1
1993-09-19,1993-94,Tenerife,Logrones,103.31112505923852,1.5,1.0,0.20578127960522913,0.3068277679055924,0.5990430680430148,0,0.5,0.0,2,0,2
1993-09-19,1993-94,Oviedo,Sp Gijon,52.29931532853993,-0.75,-1.0,-0.019987439981397764,-0.14096447318631045,0.3946651352438313,1,0.5,0.0,0,1,0
1993-09-19,1993-94,Ath Madrid,Celta,88.76405984426697,0.75,0.5,0.1421204556280924,0.28035782637132534,0.14499505800084078,0,0.5,0.0,3,2,2
1993-09-19,1993-94,Lerida,Vallecano,38.401879928206654,-1.5,-1.0,-0.29765386427317625,-0.4189760575805981,-0.18787923518946248,-1,0.5,0.0,0,1,0
1993-09-19,1993-94,La Coruna,Real Madrid,95.79207264719435,0.75,0.5,0.2421639634363157,-0.2800999096306791,-0.6431096517484547,2,0.5,0.0,4,0,2
1993-09-19,1993-94,Ath Bilbao,Barcelona,89.87390521834891,0.75,0.5,0.152354590835465,0.7857747302409219,-0.08683514476513676,0,0.5,0.0,0,0,1
