match_no,date,stage,home,away,venue,kickoff_local
94,2026-07-06,Round of 16,W81,W82,Lumen Field,17:00 UTC-7
95,2026-07-07,Round of 16,W86,W88,Mercedes-Benz Stadium,12:00 UTC-4
96,2026-07-07,Round of 16,W85,W87,BC Place,13:00 UTC-7
97,2026-07-09,Quarter-final,W89,W90,Gillette Stadium,16:00 UTC-4
98,2026-07-10,Quarter-final,W93,W94,SoFi Stadium,12:00 UTC-7
99,2026-07-11,Quarter-final,W91,W92,Hard Rock Stadium,17:00 UTC-4
100,2026-07-11,Quarter-final,W95,W96,Arrowhead Stadium,20:00 UTC-5
101,2026-07-14,Semi-final,W97,W98,AT&T Stadium,14:00 UTC-5
102,2026-07-15,Semi-final,W99,W100,Mercedes-Benz Stadium,15:00 UTC-4
103,2026-07-18,Match for third place,L101,L102,Hard Rock Stadium,17:00 UTC-4
104,2026-07-19,Final,W101,W102,MetLife Stadium,15:00 UTC-4
